Rows	1	2	3	4
eve_1.7-lacZ_GT	1	0	0	0
eve_1.7-lacZ	0.464607	4.90234e-12	0.0791057	3.97542e-08
eve_ftz-like_GT	1	0	0	0
eve_ftz-like	0.440878	8.92386e-08	0.390837	0.000120641
slp1_slp_B_GT	1	0	0	0
slp1_slp_B	0.418732	0.000722076	0.196718	0.0202859
CG4221_GT	1	0	0	0
CG4221	0.536343	2.52824e-11	0.0965797	1.6027e-06
tin_tinD_GT	1	0	0	0
tin_tinD	0.42693	0.00158972	0.364818	0.00609884
eve_32Bsu_GT	1	0	0	0
eve_32Bsu	0.463836	0.00194553	0.375435	0.00829406
eve_mas_GT	1	0	0	0
eve_mas	0.470714	0.212587	0.414103	0.240385
eve_200-hsp70lacZ_GT	1	0	0	0
eve_200-hsp70lacZ	0.470555	0.148785	0.393172	0.171099
cact_Lac-Z_GT	1	0	0	0
cact_Lac-Z	0.620331	2.70897e-06	0.146936	0.000981092
cact_1_GT	1	0	0	0
cact_1	0.631157	0.000551004	0.275466	0.00936472
hb_1.2_GT	1	0	0	0
hb_1.2	0.42063	2.9984e-08	0.0781293	0.000265057
tin_tinB-180_GT	1	0	0	0
tin_tinB-180	0.616121	0.0207365	0.548042	0.0597472
E(spl)_m8-0.46_GT	1	0	0	0
E(spl)_m8-0.46	0.49394	0.00403535	0.302321	0.0141884
m8.2_GT	1	0	0	0
m8.2	0.51414	2.37434e-05	0.229197	0.000648585
E(spl)_WT_SF-SR_GT	1	0	0	0
E(spl)_WT_SF-SR	0.492248	3.40165e-08	0.133825	5.48762e-05
BN002_GT	1	0	0	0
BN002	0.364079	1.17272e-13	0.0327586	4.50998e-07
ftz_3B_GT	1	0	0	0
ftz_3B	0.467239	6.88785e-13	0.0353453	0.000114936
ftz_Prox-323_GT	1	0	0	0
ftz_Prox-323	0.454806	0.0116184	0.327431	0.0368992
Ubx_pbxPB_GT	1	0	0	0
Ubx_pbxPB	0.470203	0.010963	0.242637	0.0573822
Unspecified_BN5-rt_GT	1	0	0	0
Unspecified_BN5-rt	0.400411	6.33705e-06	0.117198	0.00151971
Unspecified_BN5-lf_GT	1	0	0	0
Unspecified_BN5-lf	0.488442	1.33893e-05	0.198566	0.000717387
slp1_5-4_GT	1	0	0	0
slp1_5-4	0.494213	0.000296304	0.138557	0.00315172
slp1_u4739_GT	1	0	0	0
slp1_u4739	0.533595	0.000575716	0.212614	0.0207823
slp1_5-3_GT	1	0	0	0
slp1_5-3	0.626997	7.84776e-08	0.0991598	9.52637e-05
slp1_u1609_GT	1	0	0	0
slp1_u1609	0.404131	1.73167e-13	0.0186251	1.28253e-06
en_intron_GT	1	0	0	0
en_intron	0.432996	0.000113419	0.271236	0.00454082
Dad_dad13_GT	1	0	0	0
Dad_dad13	0.462682	2.56431e-05	0.377134	0.0003822
Dad_3525_GT	1	0	0	0
Dad_3525	0.472115	2.7372e-06	0.320593	4.86525e-05
Dad_GT	1	0	0	0
Dad	0.462682	1.95095e-05	0.371491	0.000407225
Abd-B_R15_GT	1	0	0	0
Abd-B_R15	0.418672	5.20632e-09	0.141842	0.000131664
croc_4kb_GT	1	0	0	0
croc_4kb	0.328113	3.30073e-24	0.00355977	1.25615e-09
hh_gamma1mF4_GT	1	0	0	0
hh_gamma1mF4	0.441146	0.0017829	0.545399	0.0394252
lz_MinimalCrystalCellEnhancer_GT	1	0	0	0
lz_MinimalCrystalCellEnhancer	0.442676	0.00131744	0.217865	0.0688678
Ubx_R4_GT	1	0	0	0
Ubx_R4	0.499037	6.88774e-07	0.162511	3.15692e-05
Ubx_BRE_GT	1	0	0	0
Ubx_BRE	0.461783	0.000675758	0.271398	0.00952072
eya_mesoeya_GT	1	0	0	0
eya_mesoeya	0.432931	1.09698e-05	0.184868	0.0141789
twi_PE_GT	1	0	0	0
twi_PE	0.458001	0.00200423	0.285107	0.0110744
twi_440bp_promoter_GT	1	0	0	0
twi_440bp_promoter	0.455017	0.00019248	0.260307	0.00070205
twi_1.0kb_promoter_GT	1	0	0	0
twi_1.0kb_promoter	0.436488	2.55619e-09	0.0872269	1.64425e-05
Unspecified_633_GT	1	0	0	0
Unspecified_633	0.491288	0.0398569	0.45581	0.181679
Unspecified_5278_GT	1	0	0	0
Unspecified_5278	0.462702	0.0203424	0.512307	0.0796654
Unspecified_BN35_GT	1	0	0	0
Unspecified_BN35	0.457114	9.59661e-08	0.0813392	0.00013332
btd_Ss-Ns_GT	1	0	0	0
btd_Ss-Ns	0.464556	1.866e-08	0.0580235	0.000486902
mod_5_regulatory_1050_GT	1	0	0	0
mod_5_regulatory_1050	0.45462	2.37378e-08	0.151968	0.00385491
GJ1911_GT	1	0	0	0
GJ1911	0.43802	0.0012537	0.269965	0.0159524
Ilp4_Mes3_early_embryonic_GT	1	0	0	0
Ilp4_Mes3_early_embryonic	0.47139	0.0450213	0.290361	0.104992
Doc2_7739_GT	1	0	0	0
Doc2_7739	0.468708	2.41351e-05	0.167242	0.000233744
Syx7_8977_GT	1	0	0	0
Syx7_8977	0.427275	0.00650218	0.288568	0.0194961
Doc1_7753_GT	1	0	0	0
Doc1_7753	0.495313	0.000388177	0.31664	0.00258685
ATPsyn-beta_F1ATPase-p1000_GT	1	0	0	0
ATPsyn-beta_F1ATPase-p1000	0.525096	2.25676e-06	0.4122	0.0231137
tin_tin75_GT	1	0	0	0
tin_tin75	0.468362	0.0291842	0.374176	0.276358
Unspecified_3407_GT	1	0	0	0
Unspecified_3407	0.54784	0.00730635	0.456625	0.0114234
Unspecified_2045_GT	1	0	0	0
Unspecified_2045	0.491162	0.00160136	0.321725	0.0143021
Unspecified_BN119-sm_GT	1	0	0	0
Unspecified_BN119-sm	0.450523	0.00525872	0.320076	0.0287204
dmrt11E_10563_GT	1	0	0	0
dmrt11E_10563	0.488383	0.00172781	0.445741	0.00211741
stumps_hbr_early_GT	1	0	0	0
stumps_hbr_early	0.482952	1.05875e-06	0.234477	0.00172968
Antp_4_GT	1	0	0	0
Antp_4	0.439641	1.40819e-09	0.0504325	0.00013303
Unspecified_BN106-sm_GT	1	0	0	0
Unspecified_BN106-sm	0.520784	0.00020065	0.294039	0.0152317
milt_5633_GT	1	0	0	0
milt_5633	0.47495	0.000241073	0.252772	0.00768125
Unspecified_404_GT	1	0	0	0
Unspecified_404	0.476135	0.00206686	0.388895	0.0664785
Unspecified_6053_GT	1	0	0	0
Unspecified_6053	0.488103	0.017958	0.477558	0.041829
Unspecified_BN31_GT	1	0	0	0
Unspecified_BN31	0.635587	2.74185e-05	0.296896	0.00421384
ftz_zebra_element_GT	1	0	0	0
ftz_zebra_element	0.518271	3.39347e-05	0.493323	0.00214184
Unspecified_2000_GT	1	0	0	0
Unspecified_2000	0.500657	0.000180964	0.374765	0.0182277
shi_10749_GT	1	0	0	0
shi_10749	0.447547	0.00384637	0.227955	0.0941162
Unspecified_BN121-sm_GT	1	0	0	0
Unspecified_BN121-sm	0.482789	0.0175935	0.636112	0.0477799
Ubx_2218S_GT	1	0	0	0
Ubx_2218S	0.474986	0.00293297	0.279411	0.105489
croc_7kb3prime_GT	1	0	0	0
croc_7kb3prime	0.507995	4.82498e-43	0.000388661	4.41947e-19
ush_1809/7908_GT	1	0	0	0
ush_1809/7908	0.750541	5.04726e-32	0.0013228	3.8151e-17
Doc1_7750_GT	1	0	0	0
Doc1_7750	0.4101	0.000899487	0.218933	0.00561477
Notum_cooc310_GT	1	0	0	0
Notum_cooc310	0.508034	1.17452e-08	0.23125	5.33834e-05
apt_1957_GT	1	0	0	0
apt_1957	0.459642	0.000489269	0.214841	0.00487682
Unspecified_BN58-sm_GT	1	0	0	0
Unspecified_BN58-sm	0.43391	3.53991e-06	0.3892	0.00302307
stg_b-E4.9_GT	1	0	0	0
stg_b-E4.9	0.511009	1.80152e-24	0.000645874	1.57276e-12
hkb_ventral_element_plus_NR_GT	1	0	0	0
hkb_ventral_element_plus_NR	0.459858	0.000914252	0.252335	0.0172337
sna_A1.6_GT	1	0	0	0
sna_A1.6	0.540031	4.29975e-08	0.160102	8.9997e-06
sna_VA_GT	1	0	0	0
sna_VA	0.475779	0.0021625	0.305179	0.00708501
WntD_GT	1	0	0	0
WntD	0.475229	0.00121199	0.303672	0.00604573
zen_0.7_GT	1	0	0	0
zen_0.7	0.483384	2.30197e-05	0.203919	0.000216041
T48_GT	1	0	0	0
T48	0.558542	2.33205e-11	0.0743056	6.4777e-05
twi_dl_mel_GT	1	0	0	0
twi_dl_mel	0.4407	8.61809e-10	0.0779243	2.18317e-05
stumps_ventralblastoderm_GT	1	0	0	0
stumps_ventralblastoderm	0.445581	3.44346e-11	0.0262029	6.19009e-06
sna_ShadowEnhancer_GT	1	0	0	0
sna_ShadowEnhancer	0.622159	4.46998e-07	0.399184	8.12401e-05
htl_shadow_GT	1	0	0	0
htl_shadow	0.491966	0.00051963	0.169765	0.00532978
Phm_mesoderm_GT	1	0	0	0
Phm_mesoderm	0.508852	0.024	0.346782	0.0909139
sna_dl_mel_GT	1	0	0	0
sna_dl_mel	0.556068	1.53493e-15	0.0254781	5.21348e-08
Ady43A_mesoderm_GT	1	0	0	0
Ady43A_mesoderm	0.486782	0.114338	0.388164	0.244322
VT1214.1_GT	1	0	0	0
VT1214.1	0.454257	0.0479349	0.341698	0.0506151
VT1214.2_GT	1	0	0	0
VT1214.2	0.474692	0.0220782	0.464359	0.0744571
VT9081.1_GT	1	0	0	0
VT9081.1	0.513534	0.000363826	0.385076	0.0254768
VT13663.1_GT	1	0	0	0
VT13663.1	0.460437	0.0245411	0.519091	0.081416
VT13663.2_GT	1	0	0	0
VT13663.2	0.552487	0.000137773	0.559807	0.00457798
VT13663.3_GT	1	0	0	0
VT13663.3	0.533823	0.00139771	0.346868	0.0278789
VT13669.1_GT	1	0	0	0
VT13669.1	0.473544	1.79706e-06	0.189897	0.000145599
VT13669.2_GT	1	0	0	0
VT13669.2	0.471681	0.0535898	0.449285	0.055028
VT13672.1_GT	1	0	0	0
VT13672.1	0.43277	1.0545e-11	0.0403053	1.94226e-07
VT15341.1_GT	1	0	0	0
VT15341.1	0.824937	2.53112e-09	0.358442	5.69882e-05
VT20119.1_GT	1	0	0	0
VT20119.1	0.617081	0.00121997	0.472257	0.0164231
VT21015.1_GT	1	0	0	0
VT21015.1	0.576081	2.26709e-07	0.265034	0.00114825
VT21150.1_GT	1	0	0	0
VT21150.1	0.507379	0.0148416	0.4256	0.0454752
VT21150.2_GT	1	0	0	0
VT21150.2	0.510584	1.30805e-05	0.213281	0.00144109
VT28266.1_GT	1	0	0	0
VT28266.1	0.475265	0.000229382	0.252891	0.00261316
VT28267.1_GT	1	0	0	0
VT28267.1	0.470653	0.0170935	0.338389	0.0571945
VT33785.1_GT	1	0	0	0
VT33785.1	0.448936	0.0315864	0.365051	0.24444
VT33785.2_GT	1	0	0	0
VT33785.2	0.472391	0.0139355	0.335433	0.0244206
VT33785.3_GT	1	0	0	0
VT33785.3	0.430617	8.21891e-07	0.116234	0.0035467
VT41708.1_GT	1	0	0	0
VT41708.1	0.556908	3.82671e-07	0.125396	0.0012918
VT41708.2_GT	1	0	0	0
VT41708.2	0.470282	0.00622355	0.363062	0.157175
VT42787.1_GT	1	0	0	0
VT42787.1	0.450548	7.83917e-06	0.309241	0.000540042
VT42787.2_GT	1	0	0	0
VT42787.2	0.488532	0.114946	0.399756	0.216576
VT44847.1_GT	1	0	0	0
VT44847.1	0.470113	0.119761	0.371073	0.148711
VT46221.1_GT	1	0	0	0
VT46221.1	0.468885	0.231263	0.366047	0.349604
VT46221.2_GT	1	0	0	0
VT46221.2	0.423403	0.00323036	0.426302	0.16658
VT46221.3_GT	1	0	0	0
VT46221.3	0.590105	6.79809e-06	0.260838	0.00125203
VT47317.1_GT	1	0	0	0
VT47317.1	0.488733	9.90413e-05	0.259902	0.00324423
VT50113.1_GT	1	0	0	0
VT50113.1	0.482827	9.64624e-05	0.185465	0.000783188
VT50669.1_GT	1	0	0	0
VT50669.1	0.468074	0.0751585	0.639941	0.401236
VT58194.1_GT	1	0	0	0
VT58194.1	0.380729	3.32951e-10	0.0668124	5.19962e-07
VT61926.1_GT	1	0	0	0
VT61926.1	0.524907	9.73508e-06	0.275032	0.0023868
VT61926.2_GT	1	0	0	0
VT61926.2	0.46944	0.12273	0.467614	0.218183
VT59440.1_GT	1	0	0	0
VT59440.1	0.456224	1.64019e-06	0.217147	0.00780932
VT59440.2_GT	1	0	0	0
VT59440.2	0.512899	0.041854	0.403674	0.199604
VT59440.3_GT	1	0	0	0
VT59440.3	0.474742	0.00127486	0.244335	0.0190366
VT23749.1_GT	1	0	0	0
VT23749.1	0.505629	7.18827e-13	0.158203	2.19552e-05
VT30607.1_GT	1	0	0	0
VT30607.1	0.627941	1.13e-11	0.0254279	0.000103518
VT38156.1_GT	1	0	0	0
VT38156.1	0.386667	2.52207e-13	0.0263391	1.12999e-05
VT50221.1_GT	1	0	0	0
VT50221.1	0.475864	9.27123e-15	0.0320235	4.3582e-07
VT4465.1_GT	1	0	0	0
VT4465.1	0.465353	0.19288	0.382342	0.241014
VT7843.1_GT	1	0	0	0
VT7843.1	0.483178	0.0766851	0.357591	0.195175
VT7843.2_GT	1	0	0	0
VT7843.2	0.452988	0.00255447	0.263104	0.0201364
VT7843.3_GT	1	0	0	0
VT7843.3	0.496856	0.00128711	0.350852	0.0101128
VT13039.1_GT	1	0	0	0
VT13039.1	0.515461	4.56576e-05	0.396568	0.00134244
VT13039.2_GT	1	0	0	0
VT13039.2	0.493664	1.33185e-06	0.299662	8.34005e-05
VT32891.1_GT	1	0	0	0
VT32891.1	0.421718	3.99307e-05	0.168771	0.00192262
VT32891.2_GT	1	0	0	0
VT32891.2	0.480862	0.00546996	0.278509	0.0796273
VT39547.1_GT	1	0	0	0
VT39547.1	0.819245	1.08201e-13	0.0707907	1.47499e-07
VT41694.1_GT	1	0	0	0
VT41694.1	0.41009	2.78967e-08	0.183883	0.000388166
VT41694.2_GT	1	0	0	0
VT41694.2	0.415283	0.00699011	0.307593	0.045878
VT42351.1_GT	1	0	0	0
VT42351.1	0.52918	1.29446e-05	0.591946	0.0116854
VT42351.2_GT	1	0	0	0
VT42351.2	0.429278	6.41086e-06	0.170149	0.00203168
VT45198.1_GT	1	0	0	0
VT45198.1	0.491382	0.00028319	0.726372	0.0540378
VT45198.2_GT	1	0	0	0
VT45198.2	0.480049	1.60952e-05	0.243806	0.00224958
VT46056.1_GT	1	0	0	0
VT46056.1	0.607018	0.00020159	0.279049	0.013125
VT50116.1_GT	1	0	0	0
VT50116.1	0.437754	0.00277429	0.243753	0.00941748
VT50116.2_GT	1	0	0	0
VT50116.2	0.476466	0.000404552	0.290705	0.00227337
VT50118.1_GT	1	0	0	0
VT50118.1	0.421182	0.000707222	0.21922	0.0286119
VT58198.1_GT	1	0	0	0
VT58198.1	0.454522	8.64243e-11	0.102036	2.45869e-08
VT61369.1_GT	1	0	0	0
VT61369.1	0.435656	1.5698e-06	0.308358	0.000314173
VT61369.2_GT	1	0	0	0
VT61369.2	0.457773	0.00543147	0.312575	0.229804
VT61369.3_GT	1	0	0	0
VT61369.3	0.47723	0.000562424	0.530341	0.0527173
VT65290.1_GT	1	0	0	0
VT65290.1	0.462392	1.10453e-12	0.0861302	1.65642e-06
VT5003.1_GT	1	0	0	0
VT5003.1	0.436694	3.35047e-11	0.0360448	2.76318e-07
VT8174.1_GT	1	0	0	0
VT8174.1	0.468982	1.71466e-14	0.0230234	3.48516e-05
VT10562.1_GT	1	0	0	0
VT10562.1	0.406087	9.67859e-14	0.00884332	8.75245e-06
VT12402.1_GT	1	0	0	0
VT12402.1	0.511101	6.34251e-15	0.0210983	9.50472e-07
VT43926.1_GT	1	0	0	0
VT43926.1	0.406935	3.41303e-13	0.112164	5.89417e-07
VT46299.1_GT	1	0	0	0
VT46299.1	0.396159	3.28723e-14	0.0406569	9.75177e-08
VT0812.1_GT	1	0	0	0
VT0812.1	0.511654	0.0257438	0.39894	0.0785569
VT0812.2_GT	1	0	0	0
VT0812.2	0.465261	0.0198676	0.472032	0.0456406
VT1965.1_GT	1	0	0	0
VT1965.1	0.423984	9.80401e-08	0.170927	1.39413e-05
VT3226.1_GT	1	0	0	0
VT3226.1	0.520993	0.0108795	0.459659	0.0258342
VT6383.1_GT	1	0	0	0
VT6383.1	0.469146	0.169265	0.454184	0.277556
VT6383.2_GT	1	0	0	0
VT6383.2	0.475856	0.0563732	0.410099	0.106219
VT6483.1_GT	1	0	0	0
VT6483.1	0.458183	5.74604e-06	0.106354	0.00413335
VT6483.2_GT	1	0	0	0
VT6483.2	0.48764	0.00010357	0.367294	0.0118309
VT7398.1_GT	1	0	0	0
VT7398.1	0.4326	0.0467866	0.321724	0.0837089
VT7398.2_GT	1	0	0	0
VT7398.2	0.471343	0.0066263	0.515706	0.145369
VT7398.3_GT	1	0	0	0
VT7398.3	0.495449	0.0355726	0.421713	0.124478
VT7398.4_GT	1	0	0	0
VT7398.4	0.47184	0.0149412	0.306792	0.0630727
VT7922.1_GT	1	0	0	0
VT7922.1	0.450872	1.35507e-07	0.0964243	5.12368e-05
VT7922.2_GT	1	0	0	0
VT7922.2	0.463323	3.89217e-07	0.127422	0.00164156
VT9076.1_GT	1	0	0	0
VT9076.1	0.480505	0.000290822	0.267353	0.0243361
VT9076.2_GT	1	0	0	0
VT9076.2	0.484485	0.0220452	0.407412	0.236378
VT9076.3_GT	1	0	0	0
VT9076.3	0.468421	0.177818	0.417389	0.266268
VT9084.1_GT	1	0	0	0
VT9084.1	0.499136	0.0103689	0.37713	0.0153066
VT9084.2_GT	1	0	0	0
VT9084.2	0.570044	0.0426763	0.44905	0.103447
VT14978.1_GT	1	0	0	0
VT14978.1	0.412652	1.93942e-13	0.258866	1.42073e-07
VT15828.1_GT	1	0	0	0
VT15828.1	0.508095	0.0430109	0.364817	0.14252
VT15828.2_GT	1	0	0	0
VT15828.2	0.474206	0.00704223	0.405029	0.0497378
VT15828.3_GT	1	0	0	0
VT15828.3	0.627328	0.000237062	0.467156	0.00466038
VT16119.1_GT	1	0	0	0
VT16119.1	0.482109	0.0407944	0.355368	0.0722438
VT16119.2_GT	1	0	0	0
VT16119.2	0.438974	0.00143961	0.247949	0.0328617
VT16238.1_GT	1	0	0	0
VT16238.1	0.475364	0.000124286	0.269946	0.00343547
VT16238.2_GT	1	0	0	0
VT16238.2	0.447515	7.13907e-08	0.283423	0.000424754
VT16258.1_GT	1	0	0	0
VT16258.1	0.47232	0.0966299	0.377085	0.170121
VT16258.2_GT	1	0	0	0
VT16258.2	0.422147	0.0608625	0.435993	0.103023
VT17873.1_GT	1	0	0	0
VT17873.1	0.455593	0.00223636	0.267288	0.0150365
VT17873.2_GT	1	0	0	0
VT17873.2	0.535194	1.31935e-09	0.235297	0.00046097
VT18224.1_GT	1	0	0	0
VT18224.1	0.473127	3.20456e-09	0.185648	2.71744e-05
VT18451.1_GT	1	0	0	0
VT18451.1	0.552925	0.0057262	0.579575	0.0727583
VT19841.1_GT	1	0	0	0
VT19841.1	0.438178	0.00467184	0.227344	0.0719675
