Rows	1	2	3	4
eve_1.7-lacZ	1	0	0	0
eve_ftz-like	1	0	0	0
slp1_slp_B	1	0	0	0
CG4221	1	0	0	0
tin_tinD	1	0	0	0
eve_32Bsu	1	0	0	0
eve_mas	1	0	0	0
eve_200-hsp70lacZ	1	0	0	0
cact_Lac-Z	1	0	0	0
cact_1	1	0	0	0
hb_1.2	1	0	0	0
tin_tinB-180	1	0	0	0
E(spl)_m8-0.46	1	0	0	0
m8.2	1	0	0	0
E(spl)_WT_SF-SR	1	0	0	0
BN002	1	0	0	0
ftz_3B	1	0	0	0
ftz_Prox-323	1	0	0	0
Ubx_pbxPB	1	0	0	0
Unspecified_BN5-rt	1	0	0	0
Unspecified_BN5-lf	1	0	0	0
slp1_5-4	1	0	0	0
slp1_u4739	1	0	0	0
slp1_5-3	1	0	0	0
slp1_u1609	1	0	0	0
en_intron	1	0	0	0
Dad_dad13	1	0	0	0
Dad_3525	1	0	0	0
Dad	1	0	0	0
Abd-B_R15	1	0	0	0
croc_4kb	1	0	0	0
hh_gamma1mF4	1	0	0	0
lz_MinimalCrystalCellEnhancer	1	0	0	0
Ubx_R4	1	0	0	0
Ubx_BRE	1	0	0	0
eya_mesoeya	1	0	0	0
twi_PE	1	0	0	0
twi_440bp_promoter	1	0	0	0
twi_1.0kb_promoter	1	0	0	0
Unspecified_633	1	0	0	0
Unspecified_5278	1	0	0	0
Unspecified_BN35	1	0	0	0
btd_Ss-Ns	1	0	0	0
mod_5_regulatory_1050	1	0	0	0
GJ1911	1	0	0	0
Ilp4_Mes3_early_embryonic	1	0	0	0
Doc2_7739	1	0	0	0
Syx7_8977	1	0	0	0
Doc1_7753	1	0	0	0
ATPsyn-beta_F1ATPase-p1000	1	0	0	0
tin_tin75	1	0	0	0
Unspecified_3407	1	0	0	0
Unspecified_2045	1	0	0	0
Unspecified_BN119-sm	1	0	0	0
dmrt11E_10563	1	0	0	0
stumps_hbr_early	1	0	0	0
Antp_4	1	0	0	0
Unspecified_BN106-sm	1	0	0	0
milt_5633	1	0	0	0
Unspecified_404	1	0	0	0
Unspecified_6053	1	0	0	0
Unspecified_BN31	1	0	0	0
ftz_zebra_element	1	0	0	0
Unspecified_2000	1	0	0	0
shi_10749	1	0	0	0
Unspecified_BN121-sm	1	0	0	0
Ubx_2218S	1	0	0	0
croc_7kb3prime	1	0	0	0
ush_1809/7908	1	0	0	0
Doc1_7750	1	0	0	0
Notum_cooc310	1	0	0	0
apt_1957	1	0	0	0
Unspecified_BN58-sm	1	0	0	0
stg_b-E4.9	1	0	0	0
hkb_ventral_element_plus_NR	1	0	0	0
sna_A1.6	1	0	0	0
sna_VA	1	0	0	0
WntD	1	0	0	0
zen_0.7	1	0	0	0
T48	1	0	0	0
twi_dl_mel	1	0	0	0
stumps_ventralblastoderm	1	0	0	0
sna_ShadowEnhancer	1	0	0	0
htl_shadow	1	0	0	0
Phm_mesoderm	1	0	0	0
sna_dl_mel	1	0	0	0
Ady43A_mesoderm	1	0	0	0
VT1214.1	1	0	0	0
VT1214.2	1	0	0	0
VT9081.1	1	0	0	0
VT13663.1	1	0	0	0
VT13663.2	1	0	0	0
VT13663.3	1	0	0	0
VT13669.1	1	0	0	0
VT13669.2	1	0	0	0
VT13672.1	1	0	0	0
VT15341.1	1	0	0	0
VT20119.1	1	0	0	0
VT21015.1	1	0	0	0
VT21150.1	1	0	0	0
VT21150.2	1	0	0	0
VT28266.1	1	0	0	0
VT28267.1	1	0	0	0
VT33785.1	1	0	0	0
VT33785.2	1	0	0	0
VT33785.3	1	0	0	0
VT41708.1	1	0	0	0
VT41708.2	1	0	0	0
VT42787.1	1	0	0	0
VT42787.2	1	0	0	0
VT44847.1	1	0	0	0
VT46221.1	1	0	0	0
VT46221.2	1	0	0	0
VT46221.3	1	0	0	0
VT47317.1	1	0	0	0
VT50113.1	1	0	0	0
VT50669.1	1	0	0	0
VT58194.1	1	0	0	0
VT61926.1	1	0	0	0
VT61926.2	1	0	0	0
VT59440.1	1	0	0	0
VT59440.2	1	0	0	0
VT59440.3	1	0	0	0
VT23749.1	1	0	0	0
VT30607.1	1	0	0	0
VT38156.1	1	0	0	0
VT50221.1	1	0	0	0
VT4465.1	1	0	0	0
VT7843.1	1	0	0	0
VT7843.2	1	0	0	0
